DATE,Kc,FW_MUESTRA
2024-01-01 00:00:00,0.1114004626870155,0.1157407388091087
2024-01-01 00:40:00,0.0760882124304771,0.0868055522441864
2024-01-01 00:45:00,0.1506818681955337,0.1333645433187484
2024-01-01 00:50:00,0.1765046268701553,0.1765046268701553
2024-01-01 00:55:00,0.1825527399778366,0.1851851791143417
2024-01-01 01:00:00,0.1331018507480621,0.1459604054689407
2024-01-01 01:05:00,0.1215277761220932,0.1215277761220932
2024-01-01 01:10:00,0.1221984922885894,0.1215277761220932
2024-01-01 01:15:00,0.1289099752902984,0.127314805984497
2024-01-01 01:20:00,0.1360938847064972,0.1331018507480621
2024-01-01 01:25:00,0.144675925374031,0.144675925374031
2024-01-01 01:30:00,0.1475694328546524,0.1475694328546524
2024-01-01 01:35:00,0.1468127369880676,0.1475694328546524
2024-01-01 01:40:00,0.1461226791143417,0.1475694328546524
2024-01-01 01:45:00,0.144675925374031,0.144675925374031
2024-01-01 01:50:00,0.1442139744758606,0.144675925374031
2024-01-01 01:55:00,0.144675925374031,0.144675925374031
2024-01-01 02:00:00,0.1461226791143417,0.1475694328546524
2024-01-01 02:05:00,0.1461226791143417,0.1475694328546524
2024-01-01 02:10:00,0.1475694328546524,0.1475694328546524
2024-01-01 02:15:00,0.1475694328546524,0.1475694328546524
2024-01-01 02:20:00,0.1475694328546524,0.1475694328546524
2024-01-01 02:25:00,0.1475694328546524,0.1475694328546524
2024-01-01 02:30:00,0.1504629552364349,0.1504629552364349
2024-01-01 02:35:00,0.1504629552364349,0.1504629552364349
2024-01-01 02:40:00,0.1475694328546524,0.1475694328546524
2024-01-01 02:45:00,0.1505461186170578,0.1504629552364349
2024-01-01 02:50:00,0.2026245594024658,0.1852611601352691
2024-01-01 02:55:00,0.2169533669948578,0.2141203582286834
2024-01-01 03:00:00,0.1765046268701553,0.1793412119150161
2024-01-01 03:05:00,0.1605902761220932,0.1591435074806213
2024-01-01 03:10:00,0.1548032313585281,0.1504629552364349
2024-01-01 03:15:00,0.1576967537403106,0.15625
2024-01-01 03:20:00,0.1606238633394241,0.1615368425846099
2024-01-01 03:25:00,0.1649305522441864,0.1620370298624038
2024-01-01 03:30:00,0.166377305984497,0.1649305522441864
2024-01-01 03:35:00,0.1649305522441864,0.1649305522441864
2024-01-01 03:40:00,0.164909228682518,0.1620370298624038
2024-01-01 03:45:00,0.1620370298624038,0.1591435074806213
2024-01-01 03:50:00,0.1605902761220932,0.1591435074806213
2024-01-01 03:55:00,0.1605902761220932,0.1591435074806213
2024-01-01 04:00:00,0.1605902761220932,0.1591435074806213
2024-01-01 04:05:00,0.1605902761220932,0.1591435074806213
2024-01-01 04:10:00,0.1605902761220932,0.1591435074806213
2024-01-01 04:15:00,0.1591435074806213,0.1591435074806213
2024-01-01 04:20:00,0.1591435074806213,0.15625
2024-01-01 04:25:00,0.1576967537403106,0.15625
2024-01-01 04:30:00,0.1735853552818298,0.15625
2024-01-01 04:35:00,0.2172889709472656,0.2044637203216552
2024-01-01 04:40:00,0.2112486958503723,0.217013880610466
2024-01-01 04:45:00,0.1736374348402023,0.1736111044883728
2024-01-01 04:50:00,0.1620370298624038,0.160127967596054
2024-01-01 04:55:00,0.1605902761220932,0.15625
2024-01-01 05:00:00,0.1620370298624038,0.1591435074806213
2024-01-01 05:05:00,0.166377305984497,0.1620370298624038
2024-01-01 05:10:00,0.1692708283662796,0.1707175821065902
2024-01-01 05:15:00,0.1692708283662796,0.1707175821065902
2024-01-01 05:20:00,0.1687112152576446,0.1649305522441864
2024-01-01 05:25:00,0.166377305984497,0.1620370298624038
2024-01-01 05:30:00,0.1626413166522979,0.1620370298624038
2024-01-01 06:40:00,0.1692708283662796,0.1736111044883728
2024-01-01 06:45:00,0.166377305984497,0.1620370298624038
2024-01-01 06:50:00,0.166377305984497,0.1620370298624038
2024-01-01 06:55:00,0.1678240746259689,0.1649305522441864
2024-01-01 07:00:00,0.1721643507480621,0.1707175821065902
2024-01-01 07:05:00,0.1750578582286834,0.1736111044883728
2024-01-01 07:10:00,0.1750578582286834,0.1736111044883728
2024-01-01 07:15:00,0.1736111044883728,0.1736111044883728
2024-01-01 07:20:00,0.1692708283662796,0.1707175821065902
2024-01-01 07:25:00,0.1678240746259689,0.1649305522441864
2024-01-01 07:30:00,0.1678240746259689,0.1649305522441864
2024-01-01 07:35:00,0.1678240746259689,0.1649305522441864
2024-01-01 07:40:00,0.1692708283662796,0.1707175821065902
2024-01-01 07:45:00,0.167880579829216,0.1707175821065902
2024-01-01 07:50:00,0.1678240746259689,0.1707175821065902
2024-01-01 07:55:00,0.1678240746259689,0.1649305522441864
2024-01-01 08:00:00,0.1678240746259689,0.1649305522441864
2024-01-01 08:05:00,0.1678240746259689,0.1649305522441864
2024-01-01 08:10:00,0.2155671268701553,0.1946307867765426
2024-01-01 08:15:00,0.2300347089767456,0.2207424193620681
2024-01-01 08:20:00,0.1909722089767456,0.1988599449396133
2024-01-01 08:25:00,0.1750578582286834,0.1736111044883728
2024-01-01 08:30:00,0.1721643507480621,0.1707175821065902
2024-01-01 08:35:00,0.1736111044883728,0.1727819293737411
2024-01-01 08:40:00,0.1750578582286834,0.1736111044883728
2024-01-01 08:45:00,0.1793981492519378,0.1756874769926071
2024-01-01 08:50:00,0.1808449029922485,0.1765046268701553
2024-01-01 08:55:00,0.1793981492519378,0.1765046268701553
2024-01-01 09:00:00,0.1765046268701553,0.1736111044883728
2024-01-01 09:05:00,0.1736111044883728,0.1736111044883728
