DATE,Kc,FW_MUESTRA,Falla
2020-01-11 11:00:00,0.1316551,0.1331019,A
2020-01-11 11:40:00,0.1331019,0.1331019,A
2020-01-11 12:40:00,0.11344,0.1041667,A
2020-01-11 14:00:00,0.1258681,0.1359954,A
2020-01-11 15:00:00,0.1302083,0.1273148,A
2020-01-11 15:40:00,0.1331019,0.1331019,A
2020-01-11 16:40:00,0.114294,0.1041667,A
2020-01-11 17:20:00,0.1316551,0.1273148,A
2020-01-11 18:00:00,0.1331019,0.1331019,A
2020-01-11 19:00:00,0.1287616,0.1142016,A
2020-01-11 19:40:00,0.1316551,0.1302083,A
2020-01-11 20:20:00,0.1183656,0.1331019,A
2020-01-11 20:40:00,0.1070602,0.1041667,A
2020-01-11 21:20:00,0.1301654,0.1273148,A
2020-01-11 22:00:00,0.1331019,0.1331019,A
2020-01-11 22:20:00,0.1181374,0.1046728,A
2020-01-11 22:40:00,0.1388889,0.1446759,A
2020-01-11 23:40:00,0.1287616,0.1092173,A
2020-01-12 00:20:00,0.1446759,0.1331019,A
2020-01-12 01:00:00,0.1357874,0.150463,A
2020-01-12 01:20:00,0.1427071,0.1186343,A
2020-01-12 02:40:00,0.2488426,0.2141204,A
2020-01-12 03:00:00,0.2184606,0.1996528,A
2020-01-12 03:20:00,0.2633102,0.234375,C
2020-01-12 03:40:00,0.2300347,0.2083333,A
2020-01-12 04:00:00,0.2734375,0.2430556,C
2020-01-12 04:20:00,0.234375,0.2170139,A
2020-01-12 04:40:00,0.2734375,0.2430556,C
2020-01-12 05:00:00,0.2387153,0.2199074,A
2020-01-12 05:20:00,0.2604167,0.2199074,C
2020-01-12 05:40:00,0.234375,0.2199074,A
2020-01-12 06:00:00,0.2305447,0.2141204,A
2020-01-12 06:20:00,0.2416088,0.2415504,A
2020-01-12 07:00:00,0.1576968,0.1504931,A
2020-01-12 07:40:00,0.1222522,0.1070602,A
2020-01-12 08:20:00,0.141307,0.1273148,A
2020-01-12 09:00:00,0.09403935,0.1041667,A
2020-01-12 09:20:00,0.1331019,0.1302083,A
2020-01-12 09:40:00,0.09332892,0.1041667,A
2020-01-12 10:20:00,0.1244213,0.1155781,A
2020-01-12 11:00:00,0.1302207,0.1302083,A
2020-01-12 11:40:00,0.1114005,0.1302083,A
